id,title,search_all,grouping,activity_type_id,description,session_type,grouping_id,activity_type,start_date
1,Pediatrics 2000,"Pediatrics 2000 Regularly Scheduled Series RSS Live All grand rounds for 2000  01/03/2000  2000  01  ",Regularly Scheduled Series,1,All grand rounds for 2000,M,2,Live,2000-01-03T05:00:00Z
2,Ethics in Research,"Ethics in Research Regularly Scheduled Series RSS Live   01/03/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-03T05:00:00Z
3,Pathology 2000,"Pathology 2000 Regularly Scheduled Series RSS Live All grand rounds for 2000  01/04/2000  2000  01  ",Regularly Scheduled Series,1,All grand rounds for 2000,M,2,Live,2000-01-04T05:00:00Z
4,Perinatal Autopsy in Genetic Cases,"Perinatal Autopsy in Genetic Cases Regularly Scheduled Series RSS Live   01/04/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-04T05:00:00Z
5,Hematology-Oncology 2000,"Hematology-Oncology 2000 Regularly Scheduled Series RSS Live All grand rounds for 2000  01/05/2000  2000  01  ",Regularly Scheduled Series,1,All grand rounds for 2000,M,2,Live,2000-01-05T05:00:00Z
6,Testicular Cancer,"Testicular Cancer Regularly Scheduled Series RSS Live   01/05/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-05T05:00:00Z
7,Neurology 2000,"Neurology 2000 Regularly Scheduled Series RSS Live All grand rounds for 2000  01/05/2000  2000  01  ",Regularly Scheduled Series,1,All grand rounds for 2000,M,2,Live,2000-01-05T05:00:00Z
8,Neurologic Complications During Coronary Bypass Surgery,"Neurologic Complications During Coronary Bypass Surgery Regularly Scheduled Series RSS Live   01/05/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-05T05:00:00Z
9,Otolaryngology 2000,"Otolaryngology 2000 Regularly Scheduled Series RSS Live All grand rounds for 2000  01/05/2000  2000  01  ",Regularly Scheduled Series,1,All grand rounds for 2000,M,2,Live,2000-01-05T05:00:00Z
10,Zygomatic Implant for Dental Maxillofacial Rehabilitation,"Zygomatic Implant for Dental Maxillofacial Rehabilitation Regularly Scheduled Series RSS Live   01/05/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-05T05:00:00Z
11,Psychiatry 2000,"Psychiatry 2000 Regularly Scheduled Series RSS Live   01/05/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-05T05:00:00Z
12,Psychiatry Grand Rounds,"Psychiatry Grand Rounds Regularly Scheduled Series RSS Live   01/05/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-05T05:00:00Z
13,Surgery 2000,"Surgery 2000 Regularly Scheduled Series RSS Live All grand rounds for 2000  01/05/2000  2000  01  ",Regularly Scheduled Series,1,All grand rounds for 2000,M,2,Live,2000-01-05T05:00:00Z
14,Skin-Sparing Mastectomy and Breast Reconstruction/ Pediatric Achalasia,"Skin-Sparing Mastectomy and Breast Reconstruction/ Pediatric Achalasia Regularly Scheduled Series RSS Live   01/05/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-05T05:00:00Z
15,Physical Medicine 2000,"Physical Medicine 2000 Regularly Scheduled Series RSS Live All grand rounds for 2000  01/07/2000  2000  01  ",Regularly Scheduled Series,1,All grand rounds for 2000,M,2,Live,2000-01-07T05:00:00Z
16,Amyotrophiic Lateral Schlerosis in a 27 year old,"Amyotrophiic Lateral Schlerosis in a 27 year old Regularly Scheduled Series RSS Live   01/07/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-07T05:00:00Z
17,Orthopaedic Surgery 2000,"Orthopaedic Surgery 2000 Regularly Scheduled Series RSS Live All grand rounds for 2000  01/08/2000  2000  01  ",Regularly Scheduled Series,1,All grand rounds for 2000,M,2,Live,2000-01-08T05:00:00Z
18,Leg-Calve-Perthes Disease: An Obscure Affection of the Hip Joint in Children,"Leg-Calve-Perthes Disease: An Obscure Affection of the Hip Joint in Children Regularly Scheduled Series RSS Live   01/08/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-08T05:00:00Z
19,Applications of Cytology in Today's Medical Market,"Applications of Cytology in Today's Medical Market Regularly Scheduled Series RSS Live   01/10/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-10T05:00:00Z
20,Ethics in Research,"Ethics in Research Regularly Scheduled Series RSS Live   01/10/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-10T05:00:00Z
21,Radiology 2000,"Radiology 2000 Regularly Scheduled Series RSS Live All grand rounds for 2000  01/10/2000  2000  01  ",Regularly Scheduled Series,1,All grand rounds for 2000,M,2,Live,2000-01-10T05:00:00Z
22,Intra-abdominal Pathways for the Spread of Disease:  Peritoneal Ligaments and Mesenteries,"Intra-abdominal Pathways for the Spread of Disease:  Peritoneal Ligaments and Mesenteries Regularly Scheduled Series RSS Live   01/10/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-10T05:00:00Z
23,Spiral CT of the Abdomen:  An Old Dog with Some New Tricks,"Spiral CT of the Abdomen:  An Old Dog with Some New Tricks Regularly Scheduled Series RSS Live   01/10/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-10T05:00:00Z
24,Anesthesia 2000,"Anesthesia 2000 Regularly Scheduled Series RSS Live All grand rounds for 2000  01/12/2000  2000  01  ",Regularly Scheduled Series,1,All grand rounds for 2000,M,2,Live,2000-01-12T05:00:00Z
25,Pain Management in Children with Cancer,"Pain Management in Children with Cancer Regularly Scheduled Series RSS Live   01/12/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-12T05:00:00Z
26,Emergency Medicine 2000,"Emergency Medicine 2000 Regularly Scheduled Series RSS Live All grand rounds for 2000  01/12/2000  2000  01  ",Regularly Scheduled Series,1,All grand rounds for 2000,M,2,Live,2000-01-12T05:00:00Z
27,EM Ultrasound Tutorial,"EM Ultrasound Tutorial Regularly Scheduled Series RSS Live   01/12/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-12T05:00:00Z
28,Periampullar Carcinoid,"Periampullar Carcinoid Regularly Scheduled Series RSS Live   01/12/2000  2000  01  ",Regularly Scheduled Series,1,,M,2,Live,2000-01-12T05:00:00Z
